isbn,title,author,image_url,amazon_url,has_kindle,is_unlimited,is_prime_reading,has_audible,is_audible,updated_at,category,hp_anchor
9784822244699,マネーの公理 : スイスの銀行家に学ぶ儲けのルール,"Gunther,Max,1927-1998 林,康史,1957- 石川,由美子",https://m.media-amazon.com/images/I/41q4KS29XuL._SY342_.jpg,https://www.amazon.co.jp/dp/B00F36MGDU,True,False,False,False,False,2026-05-01 15:49:44,投機の教科書,
9784091897008,正直不動産. 1,"大谷,アキラ,1981- 水野,光博",https://m.media-amazon.com/images/I/71nrFYznepL._SY342_.jpg,https://www.amazon.co.jp/dp/B078MKQL19,True,False,False,False,False,2026-05-01 15:50:02,不動産基礎知識,i-15
9784022950185,やってはいけない不動産投資,"藤田,知也",https://m.media-amazon.com/images/I/71HeJJp0YVL._SY342_.jpg,https://www.amazon.co.jp/dp/B07RLDTKTW,True,False,False,False,False,2026-05-01 15:50:19,不動産基礎知識,
9784862505408,住宅展示場では教えてくれない本当のこと。 : 住宅業界は、早く壊れる家を造りたい!,"澤田,升男",https://m.media-amazon.com/images/I/81Bg0iDCqdL._SY342_.jpg,https://www.amazon.co.jp/dp/4862505406,False,False,False,False,False,2026-05-01 15:50:36,不動産基礎知識,i-15
9784341088644,令和最新版 少額現金ではじめる！「中古1R（ルーム）マンション」堅実投資術,芦沢晃／著,https://cover.openbd.jp/9784341088644.jpg,https://www.amazon.co.jp/dp/4341088645,False,False,False,False,False,2026-05-01 15:50:51,不動産投資,
9784297146245,空き家は使える！戸建て賃貸テッパン投資法　2ndエディション,宮崎俊樹（サーファー薬剤師）,https://m.media-amazon.com/images/I/81vxq1VbTfL._SY342_.jpg,https://www.amazon.co.jp/dp/B0DQ45PKL8,True,False,False,False,False,2026-05-01 15:51:08,不動産投資,
9784594090128,ヤンチャ大家が教える「最強ボロ戸建て」投資術,"ふかぽん,1988-",https://m.media-amazon.com/images/I/61fuePh9sKL._SY342_.jpg,https://www.amazon.co.jp/dp/B09MQRS87B,True,False,False,True,False,2026-05-01 15:51:21,不動産投資,i-16
9784341087630,令和改訂版 パート主婦、戸建て大家さんはじめました！,舛添菜穂子／著,https://m.media-amazon.com/images/I/81drgnuIewL._SY342_.jpg,https://www.amazon.co.jp/dp/4341087630,False,False,False,False,False,2026-05-01 15:51:38,不動産投資,i-16
9784797365993,タイトル未取得,著者不明,https://m.media-amazon.com/images/I/81kNiiRqjFL._SY342_.jpg,https://www.amazon.co.jp/dp/B00BLVQ2FY,True,False,False,False,False,2026-05-01 15:51:55,,
9784341086015,地元のボロ木造物件を再生して「家賃1500万円」を稼いでいます!,,https://cover.openbd.jp/9784341086015.jpg,https://www.amazon.co.jp/dp/4341086014,False,False,False,False,False,2026-05-01 15:52:13,不動産投資,i-16
